hugo_symbol,entrez_gene_id,number_of_samples_mutated_at_gene,total_number_of_mutated_samples,overall_mutation_frequency,cancer_type,number_of_samples_with_gains,number_of_samples_with_losses,total_number_of_samples,percent_of_samples_with_gains,percent_of_samples_with_losses,dataset_name,is_oncogene,is_tumor_suppressor_gene
ARL2BP,23568,,,,BRCA,115,640,1070,10.75,59.81,cBioPortal,,
TOM1L2,146691,1,1009,0.10,BRCA,83,580,1070,7.76,54.21,cBioPortal,,
LINC02091,100506371,,,,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
ANKFY1,51479,7,1009,0.69,BRCA,72,620,1070,6.73,57.94,cBioPortal,,
PEMT,10400,2,1009,0.20,BRCA,84,584,1070,7.85,54.58,cBioPortal,,
FAM101B,359845,,,,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
GAS7,8522,3,1009,0.30,BRCA,54,648,1070,5.05,60.56,cBioPortal,No,No
CCL22,6367,,,,BRCA,116,637,1070,10.84,59.53,cBioPortal,,
SLC39A14,23516,2,1009,0.20,BRCA,147,574,1070,13.74,53.64,cBioPortal,,
ZSWIM7,125150,1,1009,0.10,BRCA,62,624,1070,5.79,58.32,cBioPortal,,
HCCAT5,283902,1,1009,0.10,BRCA,100,668,1070,9.35,62.43,cBioPortal,,
SDR42E1,93517,2,1009,0.20,BRCA,99,680,1070,9.25,63.55,cBioPortal,,
LOC339166,339166,,,,BRCA,65,632,1070,6.07,59.07,cBioPortal,,
ORC6,23594,,,,BRCA,168,567,1070,15.70,52.99,cBioPortal,,
FBXO16,157574,1,1009,0.10,BRCA,156,558,1070,14.58,52.15,cBioPortal,,
MT1L,4500,,,,BRCA,120,637,1070,11.21,59.53,cBioPortal,,
MT2A,4502,2,1009,0.20,BRCA,120,637,1070,11.21,59.53,cBioPortal,,
LOC101927911,101927911,,,,BRCA,68,620,1070,6.36,57.94,cBioPortal,,
LINC02139,400548,,,,BRCA,103,686,1070,9.63,64.11,cBioPortal,,
SH2D4A,63898,2,1009,0.20,BRCA,151,558,1070,14.11,52.15,cBioPortal,,
CTSB,1508,2,1009,0.20,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
ADRA1A,148,5,1009,0.50,BRCA,152,567,1070,14.21,52.99,cBioPortal,,
CCDC135,84229,,,,BRCA,108,646,1070,10.09,60.37,cBioPortal,,
LINC00311,197196,,,,BRCA,104,684,1070,9.72,63.93,cBioPortal,,
ODF4,146852,,,,BRCA,55,642,1070,5.14,60.00,cBioPortal,,
ATP1B2,482,,,,BRCA,54,650,1070,5.05,60.75,cBioPortal,,
SNORD49B,692087,,,,BRCA,73,605,1070,6.82,56.54,cBioPortal,,
FUK,197258,,,,BRCA,105,659,1070,9.81,61.59,cBioPortal,,
MCPH1-DT,100287015,,,,BRCA,150,559,1070,14.02,52.24,cBioPortal,,
TAT-AS1,100132529,,,,BRCA,103,661,1070,9.63,61.78,cBioPortal,,
MIR4659B,100616372,,,,BRCA,149,559,1070,13.93,52.24,cBioPortal,,
MIR6778,102466733,,,,BRCA,87,566,1070,8.13,52.90,cBioPortal,,
DHX38,9785,7,1009,0.69,BRCA,105,666,1070,9.81,62.24,cBioPortal,,
TNFRSF10D,8793,4,1009,0.40,BRCA,143,581,1070,13.36,54.30,cBioPortal,,
TNKS,8658,5,1009,0.50,BRCA,150,556,1070,14.02,51.96,cBioPortal,,
LOC100128006,100128006,,,,BRCA,54,634,1070,5.05,59.25,cBioPortal,,
VAMP2,6844,1,1009,0.10,BRCA,56,645,1070,5.23,60.28,cBioPortal,,
COG8,84342,1,1009,0.10,BRCA,104,663,1070,9.72,61.96,cBioPortal,,
SORBS3,10174,4,1009,0.40,BRCA,146,575,1070,13.64,53.74,cBioPortal,,
LRRC48,83450,,,,BRCA,84,575,1070,7.85,53.74,cBioPortal,,
NEFL,4747,,,,BRCA,143,576,1070,13.36,53.83,cBioPortal,,
MAGOH2,100506898,,,,BRCA,55,639,1070,5.14,59.72,cBioPortal,,
USP17L1P,401447,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
CTNS,1497,,,,BRCA,71,618,1070,6.64,57.76,cBioPortal,,
MIR3183,100422835,,,,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
MT3,4504,,,,BRCA,121,637,1070,11.31,59.53,cBioPortal,,
TRAPPC1,58485,2,1009,0.20,BRCA,58,645,1070,5.42,60.28,cBioPortal,,
ZNF705D,728957,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
EMC8,10328,1,1009,0.10,BRCA,102,683,1070,9.53,63.83,cBioPortal,,
GPR97,222487,,,,BRCA,109,645,1070,10.19,60.28,cBioPortal,,
CDRT8,94151,,,,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
FAM66E,100132103,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
MAF,4094,1,1009,0.10,BRCA,98,679,1070,9.16,63.46,cBioPortal,No,No
ZNF469,84627,11,1009,1.09,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
TMEM95,339168,,,,BRCA,54,648,1070,5.05,60.56,cBioPortal,,
ANGPT2,285,2,1009,0.20,BRCA,148,560,1070,13.83,52.34,cBioPortal,,
CSMD1,64478,42,1009,4.16,BRCA,158,563,1070,14.77,52.62,cBioPortal,,
CA5A,763,3,1009,0.30,BRCA,104,682,1070,9.72,63.74,cBioPortal,,
ACSF3,197322,4,1009,0.40,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
MIR744,100126313,,,,BRCA,53,643,1070,4.95,60.09,cBioPortal,,
MIR4520A,100616401,,,,BRCA,55,641,1070,5.14,59.91,cBioPortal,,
FTO-IT1,100505692,,,,BRCA,153,589,1070,14.30,55.05,cBioPortal,,
USB1,79650,,,,BRCA,104,650,1070,9.72,60.75,cBioPortal,,
NEFM,4741,8,1009,0.79,BRCA,143,576,1070,13.36,53.83,cBioPortal,,
FAM160B2,64760,,,,BRCA,147,572,1070,13.74,53.46,cBioPortal,,
ALOX15P1,100652883,,,,BRCA,55,642,1070,5.14,60.00,cBioPortal,,
SNORA50,677830,,,,BRCA,102,654,1070,9.53,61.12,cBioPortal,,
EDC4,23644,6,1009,0.59,BRCA,96,671,1070,8.97,62.71,cBioPortal,,
SGSM2,9905,5,1009,0.50,BRCA,76,614,1070,7.10,57.38,cBioPortal,,
PPP3CC,5533,1,1009,0.10,BRCA,147,574,1070,13.74,53.64,cBioPortal,,
DPEP2,64174,1,1009,0.10,BRCA,98,667,1070,9.16,62.34,cBioPortal,,
CDH11,1009,7,1009,0.69,BRCA,95,665,1070,8.88,62.15,cBioPortal,Yes,No
DPH1,1801,1,1009,0.10,BRCA,72,618,1070,6.73,57.76,cBioPortal,,
PELP1-DT,101559451,,,,BRCA,71,622,1070,6.64,58.13,cBioPortal,,
FLCN,201163,1,1009,0.10,BRCA,83,587,1070,7.76,54.86,cBioPortal,No,Yes
C16orf97,388276,,,,BRCA,145,596,1070,13.55,55.70,cBioPortal,,
SNORD49A,26800,,,,BRCA,73,605,1070,6.82,56.54,cBioPortal,,
ITFG1,81533,3,1009,0.30,BRCA,182,559,1070,17.01,52.24,cBioPortal,,
GP1BA,2811,4,1009,0.40,BRCA,72,619,1070,6.73,57.85,cBioPortal,,
GLOD4,51031,1,1009,0.10,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
LINC02138,400558,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
